target,input_set_id,input_set_name,num_features,model,transformation,effective_N,mean_R2,median_R2,sd_R2,RMSE,MAE,spearman_rho,pos_fold_count,pos_fold_pct
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,SVR_RBF,LOG1P,40,-0.6715,-0.3105,1.39,0.9872,0.644,0.1516,2,8.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,PLS,RAW,40,-2.0178,-0.2448,4.0023,1.067,0.775,0.16,4,16.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,PLS,LOG1P,40,-1.4243,-0.2405,3.4698,1.0253,0.689,0.261,4,16.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,RAW,40,-1.57,-0.2491,2.8731,1.0253,0.7595,0.0105,2,8.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,Lasso,LOG1P,40,-0.5691,-0.1787,0.8936,0.9574,0.6502,0.0277,0,0.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,RAW,40,-2.4244,-0.2368,5.1066,1.0926,0.7902,0.149,4,16.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,Ridge,LOG1P,40,-2.5604,-0.2333,7.562,1.0881,0.7211,0.263,5,20.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,RAW,40,-1.8175,-0.2124,3.5448,1.0463,0.7685,0.0851,3,12.0
Mn_num,E4,E4_Min5_Field_Depth_Interactions,5,ElasticNet,LOG1P,40,-0.9583,-0.2386,2.3543,0.9829,0.6656,0.2278,3,12.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,RAW,40,-0.5168,-0.3091,1.0882,0.9676,0.62,0.1975,4,16.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,SVR_RBF,LOG1P,40,-0.7226,-0.3168,1.6052,0.9907,0.6459,0.1454,2,8.0
Mn_num,E5,E5_Full_Parsimonious_Easy_Panel,6,PLS,RAW,40,-1.9126,-0.2556,3.6767,1.0577,0.7651,0.1872,5,20.0
